,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool,state
0,Data Scientist,    Platinum Solutions,"Houston, TX",80000 - 120000,Houston,80000,120000,100000.0,False,False,False,False,False,['TX']
17,Bioinformatics Software Developer,    Genialis,"Houston, TX",50000 - 80000,Houston,50000,80000,65000.0,False,False,False,False,False,['TX']
22,Quality Assurance Analyst (Research),        Baylor College of Medicine,"Houston, TX",43794,Houston,43794,43794,43794.0,False,False,False,False,False,['TX']
32,Flow Cytometry Specialist I,        Baylor College of Medicine,"Houston, TX",46831,Houston,46831,46831,46831.0,False,False,False,False,False,['TX']
52,Research Statistical Analyst -Bioinformatics &amp; Computational...,        MD Anderson Cancer Center,"Houston, TX",66400 - 99600,Houston,66400,99600,83000.0,False,False,False,False,False,['TX']
148,Data Architect,        Career Evolutions,"Phoenix, AZ",150000,Phoenix,150000,150000,150000.0,True,True,True,True,False,['AZ']
168,RESEARCH AND STATISTICAL ANALYST,        Arizona Health Care Cost Containment System,"Phoenix, AZ",39983 - 55500,Phoenix,39983,55500,47741.5,False,False,False,False,False,['AZ']
181,AIR QUALITY PLANNER 2-3,        State of Arizona,"Phoenix, AZ",45000 - 77000,Phoenix,45000,77000,61000.0,False,False,False,False,False,['AZ']
191,Paralegal,"    Emord &amp; Associates, P.C.","Gilbert, AZ 85295",45000 - 55000,Phoenix,45000,55000,50000.0,False,False,False,False,False,['AZ']
198,ENVIRONMENTAL SCIENTIST - EMISSIONS,        State of Arizona,"Phoenix, AZ",49000 - 61000,Phoenix,49000,61000,55000.0,False,False,False,False,False,['AZ']
201,Web Security Research Analyst,        SiteLock,"Scottsdale, AZ",50000 - 55000,Phoenix,50000,55000,52500.0,False,False,False,False,False,['AZ']
203,COMPLIANCE OFFICER - HAZ WASTE,        State of Arizona,"Phoenix, AZ",50000 - 61500,Phoenix,50000,61500,55750.0,False,False,False,False,False,['AZ']
211,RESEARCH &amp; STATISTICS ANALYST,        State of Arizona,"Phoenix, AZ",30000 - 45000,Phoenix,30000,45000,37500.0,False,False,False,False,False,['AZ']
220,ENVIRONMENTAL TECHNICIAN,        State of Arizona,"Phoenix, AZ",33000 - 42000,Phoenix,33000,42000,37500.0,False,False,False,False,False,['AZ']
223,Digital Marketing (Data Scientist),"    Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ",100000 - 130000,Phoenix,100000,130000,115000.0,True,False,False,False,False,['AZ']
228,"Information Technology Support Analyst, Senior (Phoenix, AZ)",        The University of Arizona,"Phoenix, AZ",39173 - 54944,Phoenix,39173,54944,47058.5,False,False,False,False,False,['AZ']
235,Data Engineer,    Enodo Score,"Chicago, IL",70000 - 90000,Chicago,70000,90000,80000.0,False,False,False,False,False,['IL']
237,Data Scientist,        Huxley Associates,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,False,False,False,False,['IL']
240,Data Scientist,        Jobspring Partners,"Chicago, IL",120000 - 140000,Chicago,120000,140000,130000.0,True,True,False,False,False,['IL']
254,"Analyst/Senior Analyst, Advanced Analytics",        Liberty Mutual,"Chicago, IL",73300 - 114900,Chicago,73300,114900,94100.0,False,False,False,False,False,['IL']
264,Data Scientist,    Hirewell,"Evanston, IL",150000,Chicago,150000,150000,150000.0,True,True,True,True,False,['IL']
267,Senior Data Scientist,        Workbridge Associates,"Chicago, IL",130000,Chicago,130000,130000,130000.0,True,True,False,False,False,['IL']
273,Data Scientist,        Workbridge Associates,"Chicago, IL",125000,Chicago,125000,125000,125000.0,True,False,False,False,False,['IL']
280,Machine Learning Engineer,        Jobspring Partners,"Chicago, IL",120000 - 150000,Chicago,120000,150000,135000.0,True,True,False,False,False,['IL']
282,Statistical Analyst,        The LaSalle Network,"Chicago, IL 60601 (Loop area)",80000,Chicago,80000,80000,80000.0,False,False,False,False,False,['IL']
288,Principal Data Lead (Machine Learning),        Jobspring Partners,"Chicago, IL 60604 (Loop area)",180000,Chicago,180000,180000,180000.0,True,True,True,True,True,['IL']
294,Principal Data Scientist,        Jobspring Partners,"Chicago, IL 60610 (Near North Side area)",160000,Chicago,160000,160000,160000.0,True,True,True,True,False,['IL']
298,Statistical Analyst -- Health-7444,    S.C. International,"Chicago, IL",80000,Chicago,80000,80000,80000.0,False,False,False,False,False,['IL']
303,Lead Data Scientist,        Jobspring Partners,"Chicago, IL 60603 (Loop area)",150000,Chicago,150000,150000,150000.0,True,True,True,True,False,['IL']
323,Quantitative Research Analyst,        Huxley Associates,"Chicago, IL",150000,Chicago,150000,150000,150000.0,True,True,True,True,False,['IL']
330,Quantitative Risk Analyst,        Huxley Associates,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,False,False,False,False,['IL']
333,Quantitative Analyst,    Huxley Banking &amp; Financial Services,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,False,False,False,False,['IL']
381,Open Source Geniuses,    Hirewell,"Chicago, IL",120000,Chicago,120000,120000,120000.0,True,False,False,False,False,['IL']
392,Lead Data Scientist,    Harnham,"Chicago, IL",250000,Chicago,250000,250000,250000.0,True,True,True,True,True,['IL']
413,CTO,        Workbridge Associates,"Chicago, IL",90000 - 120000,Chicago,90000,120000,105000.0,False,False,False,False,False,['IL']
418,Research Analyst-Clearing House,    Huxley Banking &amp; Financial Services,"Chicago, IL",90000,Chicago,90000,90000,90000.0,False,False,False,False,False,['IL']
419,Lead Data Scientist (NLP),        Workbridge Associates,"Chicago, IL",135000,Chicago,135000,135000,135000.0,True,True,False,False,False,['IL']
431,Postdoctoral Fellow in Stem Cell Biology and Pharmacogenomic...,        Northwestern University,"Chicago, IL",47484,Chicago,47484,47484,47484.0,False,False,False,False,False,['IL']
444,Principal Machine Learning Engineer,        Jobspring Partners,"Chicago, IL 60604 (Loop area)",160000,Chicago,160000,160000,160000.0,True,True,True,True,False,['IL']
450,Senior Data Engineer with Machine Learning,        Jobspring Partners,"Chicago, IL",120000 - 130000,Chicago,120000,130000,125000.0,True,False,False,False,False,['IL']
459,Statistical Analyst,        Smith Hanley Associates,"Rosemont, IL",75000,Chicago,75000,75000,75000.0,False,False,False,False,False,['IL']
462,"Junior Data Scientist (Python, Spark, SciKitLearn)",        Workbridge Associates,"Chicago, IL 60603 (Loop area)",100000,Chicago,100000,100000,100000.0,False,False,False,False,False,['IL']
470,Data Scientist -Fitness/Wellness Firm,    Hirewell,"Chicago, IL",120000,Chicago,120000,120000,120000.0,True,False,False,False,False,['IL']
474,Sr. Machine Learning Developer,    All-In Analytics,"Downers Grove, IL",70000 - 80000,Chicago,70000,80000,75000.0,False,False,False,False,False,['IL']
489,"Data Scientist (Python, Spark, AWS)",        Workbridge Associates,"Chicago, IL",75000 - 110000,Chicago,75000,110000,92500.0,False,False,False,False,False,['IL']
501,Full Stack Developer,        Workbridge Associates,"Chicago, IL 60603 (Loop area)",90000,Chicago,90000,90000,90000.0,False,False,False,False,False,['IL']
502,"Predictive Modeling, Director",        Analytic Recruiting,"Chicago, IL",115000 - 135000,Chicago,115000,135000,125000.0,True,False,False,False,False,['IL']
574,Study Based Research Position in the State of Road Island &amp;...,    RASS BIOSOLUTION PVT LTD,"Chicago, IL",60000,Chicago,60000,60000,60000.0,False,False,False,False,False,['IL']
597,Data Scientist - Predictive Modeler - P&amp;C/Health/Life-7644,    S.C. International,"Chicago, IL",130000,Chicago,130000,130000,130000.0,True,True,False,False,False,['IL']
702,Data Acquisition Programmer,    Ceres Imaging,"Oakland, CA",90000 - 150000,San Francisco,90000,150000,120000.0,True,False,False,False,False,['CA']
703,Sr Data Scientist - NLP &amp; CODING REQUIRED,    PMES,"San Ramon, CA",150000,San Francisco,150000,150000,150000.0,True,True,True,True,False,['CA']
773,"Director of Data Science, Analytics",    Averity,"San Francisco, CA",175000 - 250000,San Francisco,175000,250000,212500.0,True,True,True,True,True,['CA']
781,"Senior Scientist III, Pre-Clinical Safety",    EPM Scientific,"Redwood City, CA",140000,San Francisco,140000,140000,140000.0,True,True,False,False,False,['CA']
839,Associate Data Scientist,    Harnham,"San Mateo, CA",130000,San Francisco,130000,130000,130000.0,True,True,False,False,False,['CA']
873,"1809 Education Policy Analyst - Research, Evaluation, Policy...",    San Francisco Unified School District - COE,"San Francisco, CA",87834 - 117112,San Francisco,87834,117112,102473.0,False,False,False,False,False,['CA']
927,Principal Machine Learning Scientist,    Tandem Recruiting Group,"San Francisco Bay Area, CA",130000 - 150000,San Francisco,130000,150000,140000.0,True,True,False,False,False,['CA']
988,Lead Data Scientist,    3coast,"San Mateo, CA",130000 - 160000,San Francisco,130000,160000,145000.0,True,True,True,False,False,['CA']
1030,Senior Data Scientist (Python),        Workbridge Associates,"San Francisco, CA 94105 (Financial District area)",170000,San Francisco,170000,170000,170000.0,True,True,True,True,False,['CA']
1071,Senior Data Scientist,        Workbridge Associates,"San Francisco, CA 94105 (Financial District area)",200000,San Francisco,200000,200000,200000.0,True,True,True,True,True,['CA']
1102,Lead Data Scientist (Life Sciences Opportunity),        Workbridge Associates,"San Francisco, CA",140000 - 160000,San Francisco,140000,160000,150000.0,True,True,True,True,False,['CA']
