,importance,word medians,word means,word effect
data,0.0892193132862,130000.0,135788.343254,+
scientist,0.068726825452,125000.0,127673.600418,+
learning,0.0656028508958,150000.0,149711.538462,+
analyst,0.0633715294117,75000.0,85742.4765101,-
research,0.0590864576351,60000.0,72053.4087302,-
engineer,0.0467283628245,135000.0,137642.873684,+
senior,0.0409056094936,135000.0,134602.788043,+
quantitative,0.0366153916146,170000.0,164760.0,+
machine,0.0316604517147,150000.0,148725.490196,+
big,0.0175739498346,170000.0,178333.333333,+
science,0.0156264761263,148750.0,152751.928571,+
director,0.0121194198027,172500.0,172032.5625,+
risk,0.0111453342766,135000.0,120893.75,+
environmental,0.0108993018465,78790.5,77260.4230769,-
statistical,0.00982032373266,80000.0,87546.2391304,-
spark,0.00795045148927,96250.0,96250.0,-
credit,0.00771058793135,137500.0,137500.0,+
laboratory,0.00759747748752,73570.5,65485.7083333,-
clinical,0.00745042218887,93664.0,96336.0833333,-
coordinator,0.00729025551051,83421.5,76720.3571429,-
manager,0.00711760965689,85000.0,103001.712121,-
principal,0.00687173933114,145000.0,141023.65,+
analytics,0.00652941511255,132500.0,142868.421053,+
amp,0.0065266428497,75557.5,89193.8125,-
software,0.00648341640828,125000.0,126088.235294,+
lead,0.00644701987268,147500.0,149565.590909,+
programmer,0.00638501251875,115000.0,104375.0,+
sr,0.00632586529852,122500.0,124118.208333,+
executive,0.00599241700848,120000.0,120000.0,+
consumer,0.00571463907277,55000.0,55000.0,-
java,0.00569017203849,120000.0,124166.666667,+
healthcare,0.00541544817382,162500.0,158333.333333,+
site,0.00505684935991,130000.0,111240.875,+
staff,0.00487336637318,54095.5,73841.4444444,-
systems,0.0046100577964,91740.5,91001.8333333,-
source,0.00460636107337,99624.75,99624.75,-
modeler,0.00429510474643,125000.0,121111.5,+
specialist,0.00423583639332,50000.0,60578.5,-
architect,0.00407961865388,120000.0,142285.714286,+
iot,0.00405888549571,130000.0,132000.0,+
product,0.00400923457556,85000.0,85000.0,-
network,0.00396858460779,88746.5,119164.333333,-
global,0.00393585705481,162500.0,166500.0,+
certifying,0.00377708293414,72500.0,72500.0,-
supply,0.0037736783984,98750.0,98750.0,-
loans,0.00376458690148,55000.0,55000.0,-
technician,0.00369846613135,38400.0,37429.4545455,-
statistics,0.00355466242038,93750.0,93750.0,-
precision,0.00349952618076,120000.0,120000.0,+
predictive,0.00335280474551,127500.0,135000.0,+
