,Job Title,Company,Location,Salary,Search Term
0,<b>Data</b> <b>Scientist</b>,"
    Platinum Solutions","Houston, TX","$80,000 - $120,000 a year",Houston
1,<b>Data</b> <b>Scientist</b> Intern,"
        HP","Houston, TX",NaN,Houston
2,Marketing Analyst/<b>Data</b> <b>Scientist</b>,"
        David Weekley Homes","Houston, TX",NaN,Houston
3,Ultimate Hoops Statistician,"
        Life Time Fitness","Sugar Land, TX 77478",NaN,Houston
4,Senior <b>Data</b> <b>Scientist</b>,"
        Honeywell","Houston, TX",NaN,Houston
5,"Associate Statistical Analyst, HSR","
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
6,Market Research Analyst,"
        Weatherford","Houston, TX 77056 <span style=""font-size: smaller"">(Galleria-Uptown area)</span>",NaN,Houston
7,Research <b>Scientist</b> - Cardiology Research,"
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
8,Research <b>Scientist</b>,"
        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
9,Structuring Quantitative Analyst,"
        Just Energy","Houston, TX 77056 <span style=""font-size: smaller"">(Galleria-Uptown area)</span>",NaN,Houston
10,"Coord, Research <b>Data</b> in Investigative Cancer Therapeutics","
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
11,Lead Retail Pricing <b>Scientist</b>,"
        Grocers Supply","Houston, TX",NaN,Houston
12,Quantitative Analyst,"
        Direct Energy","Houston, TX",NaN,Houston
13,Dealership Optimization Consultant,"
        CDK Global","Houston, TX",NaN,Houston
14,<b>Data</b> Analysis Supervisor,"
        NCI Information Systems, Inc.","Houston, TX",NaN,Houston
15,Bioinformatics Software Developer,"
    Genialis","Houston, TX","$50,000 - $80,000 a year",Houston
16,MSAT <b>Scientist</b>,"
        Lonza","Houston, TX",NaN,Houston
17,"Senior <b>Scientist</b> (Houston, TX)","
        KBRWyle","Houston, TX",NaN,Houston
18,Sr. <b>Data</b> <b>Scientist</b> - Forecasting,"
        Honeywell","Phoenix, AZ",NaN,Phoenix
19,Sr. <b>Data</b> <b>Scientist</b>,"
        Honeywell","Phoenix, AZ",NaN,Phoenix
20,Associate,"
        Exponent","Phoenix, AZ 85027",NaN,Phoenix
21,<b>Data</b> <b>Scientist</b> / BI Analyst,"
        Infusionsoft","Chandler, AZ",NaN,Phoenix
22,<b>Data</b> Architect,"
        Career Evolutions","Phoenix, AZ","$150,000 a year",Phoenix
23,Business Systems Analyst -MIS <b>Data</b> Analysis/Mining,"
        JPMorgan Chase","Phoenix, AZ",NaN,Phoenix
24,Research Analyst,"
        DuCharme, McMillen &amp; Associates, Inc.","Phoenix, AZ 85050 <span style=""font-size: smaller"">(Desert View area)</span>",NaN,Phoenix
25,"Instructor, Sr. <b>Data</b> <b>Scientist</b>","
        Galvanize","Phoenix, AZ 85003 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
26,Research <b>Scientist</b>,"
    reNature, Inc. (A Venture Capital Backed Company)","Phoenix, AZ",NaN,Phoenix
27,<b>Data</b> Analysis Supervisor,"
        NCI Information Systems, Inc.","Phoenix, AZ",NaN,Phoenix
28,Business Intelligence Developer,"
        SRP","Phoenix, AZ",NaN,Phoenix
29,<b>Data</b> Architect,"
    Nityo Infotech Corp.","Phoenix, AZ",NaN,Phoenix
30,<b>Data</b> Analysis Report Writer,"
    Southwest Service Administrators, Inc.","Phoenix, AZ 85021 <span style=""font-size: smaller"">(North Mountain area)</span>",NaN,Phoenix
31,<b>Data</b> Analyst/Research Analyst II,"
        EXOS","Phoenix, AZ",NaN,Phoenix
32,"Lead Instructor, Principal <b>Data</b> <b>Scientist</b>","
        Galvanize","Phoenix, AZ 85003 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
33,Lead <b>Data</b> <b>Scientist</b>,"
        Honeywell","Phoenix, AZ",NaN,Phoenix
34,Administrative Assistant 1,"
        Exponent","Phoenix, AZ 85027",NaN,Phoenix
35,Sr. Engineer - Big <b>Data</b>,"
    Beyondsoft Consulting Corp.","Tempe, AZ",NaN,Phoenix
36,Associate <b>Data</b> <b>Scientist</b>,"
    Ray Allen","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
37,Statistician,"
        Vizient, Inc.","Chicago, IL 60606 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
38,Research <b>Data</b> Analyst,"
        Northwestern University","Chicago, IL",NaN,Chicago
39,"Engineer, Machine Learning &amp; AI","
        Lenovo","Chicago, IL",NaN,Chicago
40,Senior <b>Data</b> <b>Scientist</b>,"
        Rally Health","Chicago, IL",NaN,Chicago
41,<b>Data</b> Engineer,"
    Enodo Score","Chicago, IL","$70,000 - $90,000 a year",Chicago
42,Statistician,"
        Rush University Medical Center","Chicago, IL",NaN,Chicago
43,<b>Data</b> <b>Scientist</b>,"
        Huxley Associates","Chicago, IL","$100,000 a year",Chicago
44,Statistician (Master's Level),"
        Ann &amp; Robert H. Lurie Children’s Hospital of Chica...","Chicago, IL",NaN,Chicago
45,Watson Health - <b>Data</b> Miner - Truven,"
        IBM","Chicago, IL",NaN,Chicago
46,<b>Data</b> <b>Scientist</b>,"
        Jobspring Partners","Chicago, IL","$120,000 - $140,000 a year",Chicago
47,Sr <b>Data</b> <b>Scientist</b>,"
        General Electric","Chicago, IL 60601 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
48,Research <b>Data</b> Analyst Lead,"
        Northwestern University","Evanston, IL",NaN,Chicago
49,Statistical Process Control Analyst,"
    OSI Group","Chicago, IL",NaN,Chicago
50,Sr. Manager Quantative Methods/ <b>Data</b> <b>Scientist</b>,"
        US Foods","Chicago, IL",NaN,Chicago
51,Research <b>Data</b> Analyst Associate,"
        Northwestern University","Chicago, IL",NaN,Chicago
52,Statistical Analyst,"
        TTX Company","Chicago, IL 60606 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
53,<b>Data</b> Analyst - Insurance,"
        CCC Information Services Inc.","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
54,Research <b>Data</b> Analyst,"
        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
55,Machine Learning,"
        Twitter","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
56,Machine Learning Engineer,"
        Twitter","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
57,"<b>Data</b> Analyst, Growth","
        Square","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
58,Machine Learning Engineer,"
    Fathom Health","San Francisco, CA",NaN,San+Francisco
59,Associate/<b>Scientist</b>,"
        Exponent","Menlo Park, CA 94025",NaN,San+Francisco
60,<b>Data</b> <b>Scientist</b> / Machine Learning Engineer - Application &amp; P...,"
        Workday","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
61,Sr. <b>Data</b> <b>Scientist</b>,"
        Vungle","San Francisco, CA",NaN,San+Francisco
62,<b>Data</b> Visualization Developer - SF (<b>Data</b>),"
    Winton Capital","San Francisco, CA",NaN,San+Francisco
63,Manager of <b>Data</b> Science,"
    Hearsay Social","San Francisco, CA 94107 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
64,Research Analyst,"
        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
65,Head of <b>Data</b> Science,"
    Change.org","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
66,Machine Learning Engineer,"
        Dropbox","San Francisco, CA",NaN,San+Francisco
