,Job Title,Company,Location,Salary,Search Term
0,Research Analyst,"
    Streetsense","Bethesda, MD",NaN,Bethesda%2C+MD
1,Research <b>Scientist</b>,"
        Child Trends","Bethesda, MD 20814",NaN,Bethesda%2C+MD
2,<b>Scientist</b>,"
        The Henry M. Jackson Foundation","Bethesda, MD 20814",NaN,Bethesda%2C+MD
3,"Chief, Cancer <b>Data</b> Science Laboratory","
    Center for Cancer Research","Bethesda, MD",NaN,Bethesda%2C+MD
4,Statistician,"
        Karna LLC","Rockville, MD",NaN,Bethesda%2C+MD
5,Jr. <b>Data</b> <b>Scientist</b>/ Programmer,"
        Leidos","Bethesda, MD",NaN,Bethesda%2C+MD
6,<b>Data</b> Subject Matter Expert,"
    Aveshka, Inc.","Washington, DC",NaN,Bethesda%2C+MD
7,<b>Data</b> Science Professional,"
        Freddie Mac","McLean, VA 22102",NaN,Bethesda%2C+MD
8,Cleared Jr. <b>Data</b> <b>Scientist</b>,"
    RedJack, LLC","Silver Spring, MD 20910",NaN,Bethesda%2C+MD
9,Research Analyst,"
        University of Maryland","College Park, MD",NaN,Bethesda%2C+MD
10,<b>Data</b> Subject Matter Expert,"
    Axiologic Solutions","Washington, DC",NaN,Bethesda%2C+MD
11,<b>Data</b> Science Evangelist,"
    DataRobot","Washington, DC",NaN,Bethesda%2C+MD
12,Research <b>Data</b> Analyst II (SAS Required),"
    Mid-Atlantic Permanente Medical Group","Rockville, MD",NaN,Bethesda%2C+MD
13,Brain Trauma Research <b>Scientist</b> (Neuroscientist),"
        Leidos","Bethesda, MD 20813",NaN,Bethesda%2C+MD
14,Statistician,"
        ACI Federal","Bethesda, MD",NaN,Bethesda%2C+MD
15,Program <b>Scientist</b>,"
        The Henry M. Jackson Foundation","Silver Spring, MD 20910",NaN,Bethesda%2C+MD
16,<b>Data</b> <b>Scientist</b> / Analyst,"
        Booz Allen Hamilton","Washington, DC",NaN,Bethesda%2C+MD
17,Statistician,"
    BLH Technologies, Inc.","Rockville, MD 20850",NaN,Bethesda%2C+MD
18,Research Analyst I,"
        Optimal Solutions Group, LLC","College Park, MD",NaN,Bethesda%2C+MD
19,Research <b>Scientist</b> - Health Care,"
        National Opinion Research Center (NORC)","Bethesda, MD",NaN,Bethesda%2C+MD
20,"Expert <b>Scientist</b>, Microbiology/Molecular Analytics","
        GlaxoSmithKline","Rockville, MD",NaN,Bethesda%2C+MD
21,Business Analyst,"
    DRT Strategies, Inc.","Silver Spring, MD",NaN,Bethesda%2C+MD
22,Lead <b>Data</b> Analyst,"
    Plus3 IT Systems","Washington, DC",NaN,Bethesda%2C+MD
23,Statistician - Administration,"
        George Washington Medical Faculty Associates","Washington, DC",NaN,Bethesda%2C+MD
24,Research &amp; Assessment Analyst - Department of Resident Life,"
        University of Maryland","College Park, MD",NaN,Bethesda%2C+MD
25,<b>Scientist</b> 2,"
        Vencore","Bethesda, MD",NaN,Bethesda%2C+MD
